y1,y2,delta1,delta2,x1_obs,x2_obs,region
1.5,0.0,0,1,1.5,0.2763074304431519,C
-1.5,-1.5,1,1,0.18132727988899572,-1.3479990945957492,A
0.0,-1.5,0,1,0.0,0.3870553740167824,C
0.0,0.0,1,1,0.6712416403499379,1.199001063210037,A
0.0,0.0,0,1,0.0,1.8077226608857848,C
-1.5,0.0,1,0,0.47642501656270997,0.0,B
-1.5,0.0,1,1,1.5703653085628555,0.6000473372325097,A
0.0,-1.5,0,1,0.0,0.05077384790235225,C
0.0,0.0,1,1,0.019287842833734675,0.6480900869194512,A
0.0,0.0,1,1,0.8354537931371238,0.9296700362050355,A
-1.5,-1.5,1,1,-1.08871693693219,-1.3707995849760708,A
-1.5,0.0,1,0,0.026214364963992993,0.0,B
0.0,1.5,1,0,1.262956246223434,1.5,B
0.0,1.5,1,1,1.108646687683869,2.04523936078393,A
0.0,1.5,1,0,1.1136874856432983,1.5,B
